text,category
אבקש מאלחנן (מחלקת מיחשוב) לחזור אלישלחתי לו מייל והוא חזר,support
מעוניין לקבל הצעת מחיר לרשימה של 10000 שאני שולח לה 3-4 מיילים ביום כלומר נפח דיוור של בערך מיליון בחודש.תודה,sales
"זוהי אזהרה לפני תביעה.נא להסיר את כתובת המייל שלי מבסיס הנתונים שלכם.אינני מעונין לקבל כל דיוור מכם מלקוחותיכם הקיימים והעתידיים.נא לאשר קבלה, זה התקשורת האחרונה שאני מוכן לקבל מכם",block
"שלום,אני עובד עם ספק רשימות דיוור ואני שוקל לעבור אליכם.כיצד מבצעים את המעבר הטכני? (העברת כל רשימת הדיוור) והאם אפשר להעביר שרשרת מיילים או שאצטרך ליצור מחדש?איוז הטבה יש למי שעובר מספק אחר אליכם?תודה",sales
להבין מחירים ויכולות המערכת בהתאמה לצרכי העסק שלי,sales
ניסיתי להסיר את המייל שלי מרשימת תפוצה של מספר לקוחות שלכם ומתקבלת הודעת תקלהאבקש להסיר את המייל שלי מרשימות התפוצה ולא לקבל יותר מיילים מכם.תודה.,block
"היי, במידה ואני לא עונה במשרד אני אשמח שתיצרו איתי קשר בנייד - 0526605059",sales
"היי,אשמח לבצע שיתופי פעולה בין האתריםשברשותי לבין האתר שלכם שיכול לתרום לשנינו.מדובר בפעולה פשוטה ללא תשלום. במידהותרצו לשמוע פרטים נוספים, תוכלו ליצור איתי קשר בכתובת orenshlomo23@gmail.com",coop
"הי,האם בדפי הנחיתה שלכם ניתן לשתול טאג מנג'ר?כאמור הטאג פוצל כיום לשני חלקיםבהדר ובגוף הקוד.תודה.",support
כמה שאלות,sales
"שלום נא להסיר אותי מישראטק באופן כללי. בעבר התחברתי לדוקטור יניב זייד.לא אני התחברתי לכן נא להסירני בבקשהתודה,בברכה,כרמית ספיר",block
אהלן אני מעוניין לשלוח הודעות סמס ללקוחות שלי אפשר לקבל פרטים ...,sales
אבקש להוציא אותי מרשימת הדיוור תודה,block
אבקש להסיר את המייל שלי מכל רשימת תפוצה שברשותכם,block
האתר שלי בנוי עם jquery גרסה 1.7 האם יש בעיה עם שימוש במערכת שלכם להטמעת פופ אפ? והרשמה?,sales
אשמח לקבל הצעת מחיר,sales
אני דורש למחוק את כתובת המייל שלי מישראטק!!!שאול גולדברג,block
נא להסיר אותי מרשימת התפוצהבתודה מראשאתי,block
מעוניין לדעת באילו רשימות תפוצה מופיעה כתובת הדואר האלקט שלי.תודה מראש.,block
אני רוצה להפסיק קבלת דיוור מ-info@jdnemails.com‏ומ-jdnemails.comבאופן מיידי תודה ה,block
למה אין תשובה אצלכם?..אני מחייגת ואחרי כשניים שלושה צלצוליםהשיחה מתנתקת.אשמח שתחזרו אלי בדקות הקרובותלקוחות מחכים ליתודהגלית.,support
אני רוצה לברר מחירים לגבי דיוור - דו שנתי (ולא חודשי) [או לפי פעימות....],sales
"האם אפשר לפתוח חשבון ולהשתמש רק בעורך הווידיאו שלכם?מה העלות לשימוש כזה? ללא הכנסת נמענים ושליחת דיוורים?תודה,אייל",sales
הסירו את המייל שלי מרשימת התפוצה,block
מבקש להסיר אותי מיידית מכל דיוור. אינני זוכר שאישרתי לכם לשלוח לי דיוור כלשהו.,block
נא להסיר אותי מרשימות התפוצה שלכם אנא אני מבקשלהסיר אותי,block
"שלום ,מבקשת להסיר את כתובת המייל שלי מכל התפוצות של הלקוחות וכלל החשבונות ומכל המערכות שלכםבנוסף אני מוסרת בזאת הצהרה שאיני מאשרת להעביר את כתובת המייל שלי לשום גורם לות כל גורם מסחרי או עסקי או שיווקיהאמור לעיל כולל מכירה של כתובת המייל כחלק מר",block
אני רוצה לקבל הצעת מחיר,sales
"אין צרך לחזור אליי, אנא מחקו את כתובתי מרשימת התפוצה של המרכז לסיוע לנפגעי ונפגעות תקיפה מינית/בזאר מתלבשות על זה. תודה",block
בבקשה להסיר אותי מרשימת התפוצה!תודה,block
"נבקש לקבל את פרטי האדם המזדהה בשם משה אברג'ל השולח מיילים ומפעיל דפי נחיתה.מהכתובת moshebizop@gmail.comשולח: משה אברג'ל - Moshe Abergelכתובת השולח: רשפון, ישראלהנ""ל מס להזדהות להלן תגובתו:ערן, לא הבנתי מה אתה רוצה בדיוק.אני לא מכיר א",block
"נא להוצי טותי מרשימת תפוצה, שאוכל לא לקבל מכתבים תודה מראש.",block
שלום . אני מנויה אצלכם באתר ואני מבקשת להפסיק את המנוי. איך עובד תהליך הניתוק והאם אני מחויבת על כל מה ששילמתי כבר? אודה על התייחסות בהקדם. תודה. הלנה,stop
"שלום,הצטרפתי דרך רז אוחנה להתנסות של חודשיים.כשנכנסתי לדף נחיתה חדש התברר לי שאין לי אפשרות לערוך אותו. ניסיתי עם רז ולא הצליח כך שיש איזו תקלה.אשמח לעזרתכם.כרגע לא ליד המחשב אך יכולה להיות לידו מחר בשעה 11.תודה",support
